id,title,colour_name,price,messages
32,HPL ,Білий MAT,14420,
22,HPL,Антрацит піщаний,14935,
26,HPL ,Антрацит структурний,14935,
19,HPL,Золотий дуб,14935,
24,HPL,Горіх,14935,
18,HPL,Дуб Темний/Монтана,14935,
30,HPL,Чорно-коричневий структ,14935,
28,HPL,Чорний Ulti-Matt,15193,
27,HPL,Умбра Matt,15296,
23,HPL,Антік,15296,
50,HPL,Сірий Matt,15399,
71,HPL,Білий структурний,15965,
81,HPL,Mattex Глибокий чорний,16223,
82,HPL,Mattex Антрацит сірий,16223,
83,HPL,Mattex Кітамі темний,16223,
84,HPL,Mattex DB703,16223,
85,HPL,Woodec  Дуб Тернер бурштиновий,16223,
86,HPL,Woodec Тернер горіховий,16223,
54,HPL,WOODEC Дуб Шеффілд сірий,16995,
51,HPL ,Бетон,17356,
72,HPL,Woodec Дуб Шеффілд альпійський,17356,
55,HPL,WOODEC Дуб Тернер toffee,17510,
53,HPL,WOODEC Дуб Тернер,17510,
52,HPL,Темний бетон,21012,
