id,title,series,active
8,V01,vertical,1
91,L00,line,1
35,H01,horizontal,1
27,C02,klasika,1
26,C01,klasika,1
65,R03,radius,1
41,S01,square,1
95,V31,vertical,1
107,H10,horizontal,1
16,V09,vertical,1
68,R06,radius,1
69,L01,line,1
70,L02,line,1
101,S24,square,1
106,H09,horizontal,1
42,S02,square,1
71,L03,line,1
103,R07,radius,1
123,C03,klasika,1
140,V14,vertical,1
100,S23,square,1
105,H08,horizontal,1
108,L23,line,1
138,V12,vertical,1
67,R05,radius,1
154,S07,square,1
93,H07,horizontal,1
72,L04,line,1
74,L06,line,1
155,S08,square,1
141,V15,vertical,1
63,R01,radius,1
109,V33,vertical,1
40,H06,horizontal,1
75,L07,line,1
153,S06,square,1
135,H11,horizontal,1
157,S12,square,1
111,V35,vertical,1
38,H04,horizontal,1
110,V34,vertical,1
45,S05,square,1
163,L11,line,1
112,V36,vertical,1
37,H03,horizontal,1
50,S10,square,1
73,L05,line,1
162,L10,line,1
160,L08,line,1
44,S04,square,1
145,C13,klasika,1
156,S11,square,1
146,C14,klasika,1
161,L09,line,1
158,S14,square,1
147,C15,klasika,1
33,V26,vertical,1
122,S27,square,1
165,C15g,klasika,1
11,V04,vertical,1
164,L15 без скла / імпоста,line,1
97,V30,vertical,1
159,S15,square,1
149,C17-фільонка/імпост,klasika,1
166,V23,vertical,1
96,V29,vertical,1
150,C19-фільонка/імпост,klasika,1
53,S13,square,1
151,C21 фільонка/імпост,klasika,1
121,S26,square,1
92,V28,vertical,1
85,L17 без скла / імпоста,line,1
9,V02,vertical,1
62,S22,square,1
152,C23-фільонка/імпост,klasika,1
49,S09,square,1
86,L18 без скла / імпоста,line,1
167,С07,klasika,1
10,V03,vertical,1
12,V05,vertical,1
168,C08,klasika,1
143,V25,vertical,1
134,L26 без скла / імпоста,line,1
87,L19 без скла / імпоста,line,1
15,V08,vertical,1
104,V18,vertical,1
31,V24,vertical,1
98,V32,vertical,1
17,V10,vertical,1
14,V07,vertical,1
24,V17,vertical,1
88,L20 без скла / імпоста,line,1
142,V21,vertical,1
23,V16,vertical,1
113,B01,base,1
114,B02,base,1
115,B03,base,1
116,B04,base,1
117,B05,base,1
118,B06,base,1
119,B07,base,1
120,B08,base,1
124,C04,klasika,1
125,C05,klasika,1
126,C06,klasika,1
129,C09,klasika,1
130,C10,klasika,1
131,C11,klasika,1
132,L24 без скла / імпоста,line,1
133,L25 без скла / імпоста,line,1
136,V06,vertical,1
137,V11,vertical,1
139,V13,vertical,1
144,C12,klasika,1
36,H02,horizontal,0
81,L13,line,0
80,L12,line,0
